p,sig_eq,test
0.0,0.0,0.0
-0.02913956978492069,0.053796128833669354,
-0.058279139569841376,0.10759225766733874,
-0.08741870935476209,0.16138838650100812,
-0.1165582791396828,0.21518451533467742,
-0.14569784892460347,0.2689806441683468,
-0.17483741870952416,0.3227767730020161,
-0.20397698849444482,0.3765729018356855,
-0.23311655827936553,0.43036903066935484,
-0.2622561280642863,0.48416515950302424,
-0.291395697849207,0.5379612883366937,
-0.32053526763412776,0.5917574171703631,
-0.3496748374190484,0.6455535460040325,
-0.37881440720396914,0.6993496748377019,
-0.40795397698888997,0.7531458036713711,
-0.4370935467738107,0.8069419325050406,
-0.4662331165587313,0.8607380613387101,
-0.495372686343652,0.9145341901723792,
-0.5245122561285727,0.9683303190060487,
-0.5536518259134933,1.0221264478397178,
-0.582791395698414,1.0759225766733873,
-0.6119309654833346,1.1297187055070566,
-0.6410705352682552,1.1835148343407258,
-0.6702101050531758,1.237310963174395,
-0.6993496748380964,1.2911070920080643,
-0.7284892446230171,1.3449032208417337,
-0.7576288144079376,1.398699349675403,
-0.7867683841928583,1.4524954785090725,
-0.815907953977779,1.5062916073427417,
-0.8450475237626996,1.5600877361764112,
-0.8741870935476204,1.6138838650100802,
-0.9033266633325412,1.6676799938437499,
-0.9324662331174617,1.721476122677419,
-0.9616058029023824,1.7752722515110884,
-0.9907453726873032,1.8290683803447574,
-1.0197979521060994,2.002361584707199,0.16234325640768424
-1.0489766468112212,2.0024125259688237,0.5031504379130689
-1.0781553415163578,2.0024634672099797,0.5031902691853756
-1.107334036221496,2.00251440844919,0.5032300926386286
-1.1365127309266307,2.002565349693225,0.5032699083012186
-1.1656914256317674,2.0026162909343697,0.5033097161855482
-1.1948701203369068,2.002667232171657,0.5033495162843403
-1.2240488150420419,2.0027181734157034,0.5033893085994846
-1.2532275097471792,2.0027691146558695,0.5034290931486008
-1.2824062044523148,2.002820055898948,0.5034688699204363
-1.311584899157453,2.002870997138164,0.503508638927409
-1.3407635938625884,2.0029219383812262,0.5035484001635152
-1.3699422885677268,2.0029728796204584,0.5035881536424127
-1.3991209832728637,2.0030238208615927,0.503627899356869
-1.428299677978,2.003074762103704,0.5036676373178516
-1.4574783726831366,2.003125703344854,0.5037073675272905
-1.4866570673882726,2.0031766445869597,0.5037470899857364
-1.51583576209341,2.003227585827138,0.5037868046989747
-1.5450144567985484,2.00327852706637,0.5038265116662695
-1.5741931515036838,2.003329468309438,0.5038662108921286
-1.6033718462088185,2.003380409553462,0.5039059023862149
-1.6325505409139576,2.0034313507917276,0.5039455861477933
-1.6617292356190951,2.003482292031905,0.5039852621709278
-1.6909079303242305,2.003533233274961,0.5040249304691898
-1.720086625029368,2.00358417451515,0.5040645910470554
-1.7492653197345038,2.0036351157572616,0.5041042438998975
-1.778444014439639,2.0036860570012855,0.5041438890373732
-1.8076227091447787,2.0037369982385833,0.5041835264626254
-1.8368014038499139,2.003787939481657,0.5042231561671073
-1.8659800985550534,2.00383888071895,0.504262778170915
-1.895158793260191,2.0038898219591283,0.5043023924615445
-1.9243374879653248,2.003940763204129,0.5043419990538878
-1.953516182670464,2.003991704442384,0.5043815979537196
-1.9826948773755995,2.004042645685452,0.5044211891485154
-2.011873572080735,2.0040935869285184,0.504460772657078
-2.0410522667858717,2.0041445281696637,0.5045003484760279
-2.0702309614910077,2.004195469411775,0.5045399166059081
-2.0994096561961464,2.0042464106500413,0.5045794770537665
-2.1285883509012837,2.004297351891174,0.5046190298162276
-2.157767045606418,2.004348293135209,0.5046585749055144
-2.186945740311556,2.004399234374431,0.5046981123248049
-2.216124435016692,2.0044501756165314,0.5047376420667876
-2.2453031297218273,2.0045011168605655,0.5047771641450031
-2.274481824426967,2.0045520580978646,0.5048166785612996
-2.303660519132104,2.004602999339009,0.5048561853070684
-2.332839213837239,2.004653940582088,0.5048956843997524
-2.3620179085423785,2.004704881819365,0.5049351758398839
-2.3911966032475167,2.004755823058586,0.5049746596201186
-2.4203752979526487,2.0048067643064664,0.5050141357540505
-2.4495539926577883,2.0048577055437655,0.5050536042538717
-2.478732687362925,2.004908646783943,0.5050930650966808
-2.5079113820680603,2.0049595880279774,0.505132518303785
-2.537090076773197,2.005010529269122,0.5051719638796179
-2.566268771478336,2.005061470508355,0.5052114018181614
-2.5954474661834706,2.005112411751412,0.5052508321238474
-2.6246261608886092,2.0051633529896766,0.5052902548075269
-2.653804855593746,2.0052142942308215,0.5053296698606573
-2.6829835502988773,2.005265235479658,0.5053690772967068
-2.7121622450040213,2.005316176711177,0.5054084771252653
-2.7413409397091595,2.0053671179494326,0.5054478693156487
-2.7705196344142906,2.0054180591982793,0.5054872539034416
-2.7996983291194293,2.0054690004375115,0.5055266308969335
-2.828877023824566,2.0055199416776888,0.5055660002719304
-2.858055718529703,2.0055708829197902,0.5056053620457761
-2.8872344132348373,2.005621824163824,0.5056447162228772
-2.9164131079399738,2.0056727654049693,0.5056840628063268
-2.9455918026451102,2.0057237066461138,0.5057234017926948
-2.974770497350247,2.0057746478891816,0.5057627331889628
-3.0039491920553907,2.0058255891197327,0.5058020570007946
-3.0331278867605262,2.005876530363768,0.5058413732117943
-3.0623065814656627,2.0059274716049127,0.5058806818601046
-3.0914852761707947,2.005978412853759,0.5059199829267073
-3.120663970875931,2.006029354094905,0.5059592764289547
-3.1498426655810707,2.006080295332202,0.5059985623491424
-3.179021360286209,2.0061312365704578,0.5060378406955306
-3.208200054991346,2.0061821778125695,0.5060771114776655
-3.237378749696484,2.0062331190517795,0.5061163747025099
