p,sig_eq
0.0,0.0
-0.005898584845962317,0.017695754537866197
-0.011797169691918644,0.03539150907573517
-0.017695754537874957,0.05308726361360413
-0.02359433938383129,0.07078301815147309
-0.029492924229787613,0.08847877268934205
-0.03539150907574393,0.10617452722721105
-0.04129009392170024,0.12387028176507998
-0.04718867876765658,0.14156603630294898
-0.053087263613612885,0.15926179084081793
-0.05898584845956922,0.1769575453786869
-0.06488443330552555,0.19465329991655586
-0.07078301815148187,0.21234905445442484
-0.07668160299743819,0.2300448089922938
-0.08258018784339449,0.24774056353016274
-0.08847877268935082,0.26543631806803175
-0.09437735753530713,0.2831320726059007
-0.10027594238126346,0.30082782714376965
-0.10617452722721976,0.3185235816816385
-0.11207311207317605,0.3362193362195075
-0.11797169691913238,0.35391509075737637
-0.12387028176508869,0.3716108452952454
-0.129768866611045,0.3893065998331143
-0.13566745145700135,0.40700235437098325
-0.14156603630295767,0.4246981089088522
-0.14746462114891398,0.4423938634467211
-0.15336320599487027,0.4600896179845901
-0.15926179084082664,0.4777853725224591
-0.16516037568678296,0.49548112706032804
-0.17105896053273928,0.513176881598197
-0.17695754537869565,0.5308726361360661
-0.18285613022465197,0.548568390673935
-0.1887547150706083,0.566264145211804
-0.19465329991656466,0.583959899749673
-0.20055188476252095,0.6016556542875421
-0.20645046960847732,0.6193514088254112
-0.2123490544544336,0.6370471633632799
-0.21824763930038996,0.654742917901149
-0.2241462241463463,0.672438672439018
-0.2300448089923027,0.6901344269768871
-0.235943393838259,0.707830181514756
-0.24184197868421528,0.725525936052625
-0.2477405635301716,0.743221690590494
-0.25363914837612794,0.7609174451283628
-0.25953773322208434,0.778613199666232
-0.26543631806804063,0.796308954204101
-0.27133490291399703,0.8140047087419701
-0.27723348775995327,0.831700463279839
-0.2831320726059096,0.8493962178177079
-0.2890306574518659,0.867091972355577
-0.2949292422978223,0.884787726893446
-0.30082782714377865,0.902483481431315
-0.30672641198973494,0.9201792359691839
-0.31262499683569117,0.9378749905070528
-0.31852358168164746,0.9555707450449218
-0.32442216652760375,0.9732664995827905
-0.3303207513735601,0.9909622541206595
-0.33621933621951633,1.0086580086585284
-0.3421179210654726,1.0263537631963973
-0.348016505911429,1.0440495177342664
-0.3539150907573853,1.0617452722721352
-0.3598136756033415,1.0794410268100039
-0.36571226044929794,1.097136781347873
-0.3716108452952542,1.1148325358857418
-0.37750943014121047,1.1325282904236107
-0.38340801498716676,1.1502240449614796
-0.38930659983312305,1.1679197994993484
-0.3952051846790794,1.1856155540372175
-0.4011037695250357,1.2033113085750864
-0.40700235437099197,1.2210070631129553
-0.41290093921694826,1.2387028176508241
-0.41879952406290455,1.256398572188693
-0.42469810890886084,1.2740943267265619
-0.43059669375481713,1.2917900812644307
-0.4364952786007734,1.3094858358022996
-0.4423938634467297,1.3271815903401685
-0.44829244829268605,1.3448773448780373
-0.4541910331386423,1.3625730994159062
-0.46008961798459863,1.3802688539537753
-0.46598820283055503,1.3979646084916442
-0.4718867876765112,1.415660363029513
-0.4777853725224676,1.4333561175673821
-0.4836839573684238,1.4510518721052508
-0.4895825422143801,1.4687476266431196
-0.4954811270603365,1.4864433811809887
-0.5013797119062927,1.5041391357188574
-0.507278296752249,1.5218348902567262
-0.5131768815982053,1.5395306447945953
-0.5190754664441616,1.5572263993324642
-0.5249740512901179,1.574922153870333
-0.5308726361360742,1.592617908408202
-0.5367712209820305,1.6103136629460708
-0.5426698058279867,1.6280094174839395
-0.548568390673943,1.6457051720218085
-0.5544669755198993,1.6634009265596774
-0.5603655603658556,1.6810966810975465
-0.566264145211812,1.6987924356354154
-0.5721627300577683,1.7164881901732842
-0.5780613149037245,1.7341839447111533
-0.5839598997496808,1.7518796992490222
-0.5898584845956371,1.769575453786891
-0.5957570694415933,1.78727120832476
-0.6016556542875496,1.8049669628626286
-0.607554239133506,1.822662717400498
-0.6134528239794624,1.8403584719383668
-0.6193514088254187,1.8580542264762356
-0.625249993671375,1.8757499810141047
-0.6311485785173317,1.893445735551974
-0.637047163363288,1.911141490089843
-0.6429457482092443,1.9288372446277122
-0.6488443330552006,1.946532999165581
-0.6547429179011569,1.9642287537034502
-0.6606415027471132,1.9819245082413193
-0.6665400875930699,1.9996202627791886
-0.6724386724390263,2.0173160173170577
-0.6783372572849825,2.0350117718549265
-0.6842358421309388,2.0527075263927954
-0.6901344269768952,2.070403280930665
-0.6960330118228516,2.0880990354685345
-0.7019315966688081,2.105794790006403
-0.7078301815147645,2.123490544544272
-0.7137287663607207,2.141186299082141
-0.719627351206677,2.15888205362001
-0.7255259360526335,2.1765778081578797
-0.7314245208985898,2.1942735626957486
-0.7373231057445461,2.2119693172336174
-0.7432216905905026,2.2296650717714868
-0.7491202754364589,2.2473608263093556
-0.7550188602824152,2.2650565808472245
-0.7609174451283717,2.2827523353850943
-0.766816029974328,2.3004480899229636
-0.7727146148202845,2.318143844460832
-0.7727736006687381,2.3183208020062143
-0.7609764309768136,2.282929292930482
-0.749179261284901,2.247537783854744
-0.7373820915929884,2.2121462747790064
-0.7255849219010758,2.1767547657032686
-0.7137877522091632,2.141363256627531
-0.7019905825172504,2.1059717475517927
-0.6901934128253381,2.0705802384760554
-0.6783962431334253,2.0351887294003173
-0.6665990734415127,1.9997972203245793
-0.6548019037496002,1.964405711248842
-0.6430047340576877,1.929014202173104
-0.631207564365775,1.893622693097366
-0.6194103946738622,1.858231184021628
-0.6076132249819498,1.8228396749458906
-0.595816055290037,1.7874481658701529
-0.5840188855981244,1.7520566567944147
-0.5722217159062116,1.7166651477186767
